box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
6831,1,3.00808123700484771e+01,1,1.25204525740000008e+04,8.06349703725547151e+00,1.20931662845763519e+01,1.14383338659159478e-01,1.60000000000000000e+01,1.19559339836595768e+00
6871,1,1.90604615584308874e+01,1,1.25425536950000005e+04,8.14363835427097627e+00,1.18987576358982459e+01,1.61134300896148358e-01,1.60000000000000000e+01,1.19559339836595768e+00
6911,1,7.26261831048432782e+00,1,1.25865180560000008e+04,8.30122698315372354e+00,1.17414568230275833e+01,1.11341616110813169e-01,1.60000000000000000e+01,1.19559339836595768e+00
6951,1,1.05845426297631917e+01,2,1.26533300720000007e+04,8.17255987507185289e+00,1.19322243299606878e+01,1.16800273488809947e-01,1.60000000000000000e+01,1.19559339836595768e+00
6991,1,6.34445971707355056e+01,0,1.26674705849999991e+04,8.16813558440291487e+00,1.19066353196149723e+01,1.67683155070977058e-01,1.60000000000000000e+01,1.19559339836595768e+00
7031,1,5.68939538677609846e+00,2,1.28415585690000007e+04,8.19043580052065501e+00,1.19319629019551350e+01,1.05227927077556987e-01,1.60000000000000000e+01,1.19559339836595768e+00
7071,1,1.68522765147848474e+00,2,1.29583700609999996e+04,8.38889686058671558e+00,1.16548007616483371e+01,1.11017160104192325e-01,1.60000000000000000e+01,1.19559339836595768e+00
7111,1,2.82556003624726202e+01,1,1.29802081650000000e+04,8.23596995664185627e+00,1.16911567137510417e+01,1.59899577637245632e-01,1.60000000000000000e+01,1.19559339836595768e+00
7151,1,2.69217112547816839e+01,1,1.30259760320000005e+04,8.21878220422796169e+00,1.18589928171829033e+01,1.01858463016569117e-01,1.60000000000000000e+01,1.19559339836595768e+00
7191,1,1.16844491242959236e+00,2,1.30936242829999992e+04,8.38794086380083570e+00,1.15095006181320851e+01,1.17524743925329744e-01,1.60000000000000000e+01,1.19559339836595768e+00
7231,1,2.70902226406502535e+01,3,1.33806921089999996e+04,8.47671184166565617e+00,1.13456500167844254e+01,1.52975048504364081e-01,1.60000000000000000e+01,1.19559339836595768e+00
7271,1,9.99673843192766753e+00,1,1.34028513010000006e+04,8.16057873461820371e+00,1.18620277450538136e+01,8.86151652211650542e-02,1.60000000000000000e+01,1.19559339836595768e+00
7311,1,1.03220797239258388e+00,3,1.40083641160000006e+04,8.30928875290330282e+00,1.15445234926402414e+01,1.06577492905010757e-01,1.60000000000000000e+01,1.19559339836595768e+00
7351,1,1.20558665593442349e+01,1,1.40195072639999999e+04,8.79084887379316982e+00,1.08742854394780490e+01,1.53817382276402431e-01,1.60000000000000000e+01,1.19559339836595768e+00
7391,1,4.23206712279721842e-01,2,1.40871253089999991e+04,8.35434138864546050e+00,1.15223205421075541e+01,8.99335082885463488e-02,1.60000000000000000e+01,1.19559339836595768e+00
7431,1,7.56940988799181014e+00,1,1.41102473869999994e+04,8.38514066110901268e+00,1.14356656171157951e+01,1.02536284794959937e-01,1.60000000000000000e+01,1.19559339836595768e+00
7471,1,2.27035970051962295e+01,1,1.41233332109999992e+04,8.71149287700484543e+00,1.10061754987285116e+01,1.42843928989443703e-01,1.60000000000000000e+01,1.19559339836595768e+00
7511,1,1.06564432736027896e+01,2,1.42242363229999992e+04,8.40107131567133614e+00,1.13701611669489786e+01,8.22271441015043902e-02,1.60000000000000000e+01,1.19559339836595768e+00
7551,1,1.13122546642943291e+01,1,1.42355386519999993e+04,8.43035724686798460e+00,1.13781317929089258e+01,9.64474619418347057e-02,1.60000000000000000e+01,1.19559339836595768e+00
7591,1,4.50771603028473322e+00,1,1.42465168439999998e+04,8.91185610491039348e+00,1.07559274222918901e+01,1.44358707840924333e-01,1.60000000000000000e+01,1.19559339836595768e+00
7631,1,7.56599966145746450e+00,2,1.43125425450000002e+04,8.59389190979420370e+00,1.12442993711092694e+01,9.33872778584563246e-02,1.60000000000000000e+01,1.19559339836595768e+00
7671,1,5.14238557821755649e-02,2,1.43682821440000007e+04,8.53287013677662642e+00,1.12749682597388645e+01,8.67364494027536848e-02,1.60000000000000000e+01,1.19559339836595768e+00
7711,1,5.73173155995556272e+01,0,1.43752066959999993e+04,9.20422825228078345e+00,1.03597152817159248e+01,1.60193841060289055e-01,1.60000000000000000e+01,1.19559339836595768e+00
7751,1,1.16469678109760508e+01,1,1.43972272499999999e+04,8.57486005447900546e+00,1.12925982098747824e+01,8.71684537458073949e-02,1.60000000000000000e+01,1.19559339836595768e+00
