box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
5328,1,1.74230066903806851e+01,1,8.26528642299999956e+03,8.27392376009044561e+00,1.18259922149494976e+01
5376,1,1.19685624062113760e+01,1,8.34674900399999933e+03,8.20022004508292390e+00,1.20027496079404283e+01
5424,1,9.18170055395712836e+00,1,8.38293223299999954e+03,8.07494282431149202e+00,1.21710042151086331e+01
5472,1,1.08085839005177746e+01,1,8.46313837899999999e+03,8.32585946491976436e+00,1.16913291095898355e+01
5520,1,2.89622289871640248e+00,1,8.54440301899999940e+03,8.24509048717220061e+00,1.18793546915970847e+01
5568,1,1.60103758863826329e-01,2,8.62484681900000032e+03,8.11961959977371706e+00,1.20437473379381057e+01
5616,1,1.30504042356034518e+01,1,8.70477832999999919e+03,8.39417086549725511e+00,1.15490797942252303e+01
5664,1,6.62624493182909191e+00,1,8.78568367199999921e+03,8.30836757612632049e+00,1.17548390461708543e+01
5712,1,3.78678158038533752e+00,1,8.82149835700000040e+03,8.18542213260147733e+00,1.18992717825422201e+01
5760,1,9.17620265775788369e-01,2,9.21438700600000084e+03,8.30757625652340792e+00,1.15674015800999879e+01
5808,1,1.91214297716146575e+00,1,9.29426266899999973e+03,8.38801554036793640e+00,1.16247353270182963e+01
5856,1,2.19914878831216356e+01,1,9.32915246200000001e+03,8.27287973502108898e+00,1.17460592108202704e+01
5904,1,1.12458726123344377e+00,1,9.36392554000000018e+03,8.42034191532385101e+00,1.14068641228298766e+01
5952,1,1.62465171747149526e+01,1,9.39876624599999923e+03,8.34876067462195515e+00,1.16712518130635114e+01
6000,1,3.17843538211555234e+01,0,9.41314683999999943e+03,8.36795864724959948e+00,1.16080084902271423e+01
6048,1,2.25807230737886151e+01,0,9.42751346100000046e+03,8.52984571449307616e+00,1.12748044255113200e+01
6096,1,2.45344897387749796e+01,1,9.46238151400000061e+03,8.37444903611789293e+00,1.16311831621945228e+01
6144,1,3.87616642101618680e+01,0,9.47677653699999973e+03,8.39431830792333677e+00,1.15655253421031485e+01
6192,1,2.30780237791646847e+01,0,9.49116072600000007e+03,8.53699945667816174e+00,1.12661807684575077e+01
6240,1,1.43857730863154352e+01,1,9.57090162600000076e+03,8.41708646357648860e+00,1.15631857328932206e+01
6288,1,4.21655374387775339e-01,0,9.58531729699999960e+03,8.29988317786580332e+00,1.16728440181472912e+01
6336,1,2.61655368859634052e+00,1,9.62025823200000013e+03,8.43407932375528624e+00,1.13872661661993213e+01
6384,1,1.90607681936628666e+01,1,9.70122611200000028e+03,8.33669370475316995e+00,1.16766237861256510e+01
6432,1,6.33757162323290402e+00,1,9.73628728799999953e+03,8.20001128987397898e+00,1.18146077480462814e+01
6480,1,2.15859714795518087e+00,2,1.01302765270000000e+04,8.32475926027179902e+00,1.15398582722512000e+01
